time,btceur_open,btceur_high,btceur_low,btceur_close,volume
1601510400000,9226.0,9259.87,9224.68,9234.91,4.469228
1601514000000,9242.03,9275.92,9236.88,9261.89,2.159226
1601517600000,9266.22,9276.57,9240.89,9252.43,0.946916
1601521200000,9253.28,9255.53,9231.58,9242.23,1.221009
1601524800000,9242.7,9257.78,9236.96,9239.79,4.830522
1601528400000,9237.0,9258.0,9218.53,9254.76,3.998849
1601532000000,9254.29,9271.4,9245.67,9249.3,12.106182
1601535600000,9247.07,9278.12,9247.07,9267.65,10.550611
1601539200000,9268.58,9334.15,9255.34,9318.74,23.803187
1601542800000,9318.99,9331.88,9310.3,9317.18,15.833238
1601546400000,9319.43,9320.0,9280.0,9297.93,15.980298
1601550000000,9290.0,9307.35,9280.0,9306.01,19.665688
1601553600000,9306.01,9315.78,9277.97,9305.05,14.755972
1601557200000,9304.76,9316.65,9275.51,9289.51,11.933723
1601560800000,9292.93,9302.91,9269.22,9297.55,22.78516
1601564400000,9298.01,9312.63,9150.0,9165.0,41.071879
1601568000000,9164.1,9164.1,8942.28,8997.07,77.311621
1601571600000,8997.07,9014.14,8957.0,8972.42,35.9192
1601575200000,8965.45,9071.61,8955.06,9058.46,36.53896
1601578800000,9057.93,9102.58,9038.02,9074.25,29.922256
1601582400000,9069.0,9089.69,9037.43,9074.5,15.086515
1601586000000,9078.05,9099.99,9055.63,9057.74,15.524315
1601589600000,9055.1,9095.51,9047.91,9074.99,8.548982
1601593200000,9075.45,9084.13,9053.03,9080.65,4.781537
1601596800000,9080.55,9084.21,9054.26,9069.88,4.304039
1601600400000,9069.02,9091.66,9060.01,9065.76,2.374298
1601604000000,9065.47,9095.97,9065.47,9079.77,2.981619
1601607600000,9083.37,9127.33,9081.09,9122.51,3.657836
1601611200000,9127.37,9143.01,9097.13,9097.13,2.590012
1601614800000,9088.8,9089.54,8907.12,8944.4,24.900026
1601618400000,8935.56,9017.98,8919.71,8987.45,29.302573
1601622000000,8987.45,9016.25,8972.6,8993.13,24.970783
1601625600000,8992.53,8994.38,8932.18,8958.01,15.392897
1601629200000,8949.81,8991.45,8935.98,8955.52,20.169052
1601632800000,8953.84,8973.3,8902.32,8963.34,40.961883
1601636400000,8962.15,8981.79,8924.05,8944.26,28.90967
1601640000000,8943.6,8998.0,8940.57,8998.0,13.877433
1601643600000,8998.0,9056.0,8955.82,9030.93,25.249345
1601647200000,9026.63,9044.75,9010.47,9023.77,36.242565
1601650800000,9025.83,9045.22,9015.0,9027.21,14.458601
1601654400000,9022.88,9060.0,9009.38,9041.41,22.589868
1601658000000,9041.41,9054.69,9015.7,9033.03,11.530805
1601661600000,9035.63,9053.88,9023.0,9043.68,15.830719
1601665200000,9045.07,9046.25,9000.88,9020.86,9.305363
1601668800000,9023.8,9038.92,9004.45,9032.69,8.978059
1601672400000,9032.69,9043.88,8953.35,8970.0,9.4992
1601676000000,8976.0,9059.29,8967.41,9034.57,2.623118
1601679600000,9034.48,9068.96,9034.02,9064.78,5.788261
1601683200000,9064.08,9064.08,9033.0,9047.18,3.106725
1601686800000,9047.6,9049.89,9026.64,9032.06,0.238631
1601690400000,9042.8,9043.7,9022.5,9041.01,2.374353
1601694000000,9026.32,9054.28,9020.72,9034.2,0.254031
1601697600000,9037.57,9055.0,9032.8,9055.0,3.119797
1601701200000,9049.84,9054.0,9013.0,9026.18,5.063891
1601704800000,9034.1,9037.38,9005.72,9029.66,1.327004
1601708400000,9025.82,9031.56,9012.5,9017.2,3.910553
1601712000000,9017.41,9045.69,8992.95,9015.3,6.710533
1601715600000,9010.0,9037.4,9008.02,9027.67,5.836705
1601719200000,9023.34,9043.0,9022.6,9043.0,5.304107
1601722800000,9043.0,9058.12,9025.12,9038.7,5.646125
1601726400000,9037.43,9041.74,9022.85,9035.25,17.456009
1601730000000,9034.83,9046.51,9025.47,9031.01,7.526702
1601733600000,9027.73,9041.15,9027.73,9036.93,4.323475
1601737200000,9032.05,9045.79,9025.65,9044.57,4.723911
1601740800000,9044.57,9075.92,9027.04,9075.0,6.452297
1601744400000,9073.41,9078.97,9052.99,9077.21,4.36744
1601748000000,9077.21,9078.72,9056.16,9069.89,4.954768
1601751600000,9070.67,9084.16,9055.29,9076.66,6.164441
1601755200000,9080.12,9081.67,9048.16,9061.87,3.329136
1601758800000,9062.01,9066.94,9043.23,9062.0,1.533226
1601762400000,9059.99,9061.99,9028.1,9051.02,2.578649
1601766000000,9051.63,9057.55,9034.81,9040.26,2.13995
1601769600000,9033.39,9051.6,9023.57,9043.28,1.787568
1601773200000,9042.06,9047.07,9021.18,9039.43,0.629887
1601776800000,9038.96,9049.04,9027.8,9048.19,0.684948
1601780400000,9047.44,9050.0,9036.59,9042.61,0.262019
1601784000000,9050.0,9061.99,9046.0,9059.1,0.670922
1601787600000,9061.99,9071.71,9057.81,9060.6,1.518398
1601791200000,9060.58,9109.21,9057.81,9101.9,10.512848
1601794800000,9101.9,9109.71,9087.53,9105.07,2.154798
1601798400000,9105.07,9108.04,9079.98,9088.26,3.343573
1601802000000,9089.15,9094.29,9075.0,9081.55,7.010443
1601805600000,9077.63,9085.7,9065.88,9078.74,4.073362
1601809200000,9079.0,9100.92,9066.34,9083.95,2.821462
1601812800000,9088.45,9098.44,9067.28,9096.7,5.698335
1601816400000,9100.0,9108.5,9086.17,9092.54,4.012636
1601820000000,9098.41,9102.9,9081.57,9093.17,3.147581
1601823600000,9092.64,9103.38,9082.14,9084.74,4.934874
1601827200000,9085.42,9094.71,9073.73,9084.54,6.084208
1601830800000,9085.0,9097.07,9084.14,9096.55,4.564907
1601834400000,9097.07,9123.12,9077.6,9120.97,12.403724
1601838000000,9119.48,9156.94,9114.7,9153.11,9.574385
1601841600000,9155.71,9162.0,9119.83,9122.3,5.248868
1601845200000,9122.3,9135.1,9116.01,9116.66,4.134784
1601848800000,9123.6,9144.38,9111.51,9129.92,3.579731
1601852400000,9131.65,9142.45,9111.74,9123.52,1.277123
1601856000000,9123.52,9180.0,9123.52,9151.05,3.100927
1601859600000,9155.91,9163.33,9135.69,9144.22,0.658447
1601863200000,9141.32,9160.45,9134.54,9160.45,0.615955
1601866800000,9160.45,9160.46,9119.0,9128.38,0.653192
1601870400000,9120.24,9120.24,9094.85,9105.45,3.828942
1601874000000,9105.45,9141.22,9105.45,9135.56,0.819253
1601877600000,9132.18,9141.75,9077.84,9105.0,7.912679
1601881200000,9100.01,9156.21,9100.0,9152.52,14.332486
1601884800000,9148.02,9151.46,9118.14,9125.61,14.877047
1601888400000,9125.34,9141.32,9116.59,9127.34,66.999947
1601892000000,9123.73,9134.16,9091.8,9126.52,10.957277
1601895600000,9129.0,9141.71,9108.56,9110.07,22.229757
1601899200000,9108.4,9132.19,9093.62,9129.89,13.419599
1601902800000,9133.57,9154.12,9124.28,9139.54,20.694652
1601906400000,9138.25,9172.45,9120.59,9138.09,23.693688
1601910000000,9141.27,9151.01,9130.0,9144.39,11.373009
1601913600000,9149.84,9159.92,9124.27,9159.92,17.399802
1601917200000,9155.29,9159.39,9123.59,9126.44,15.220359
1601920800000,9124.06,9134.79,9110.0,9130.0,18.346442
1601924400000,9126.77,9163.73,9122.28,9140.38,15.706068
1601928000000,9148.63,9161.61,9140.17,9159.41,5.88289
1601931600000,9158.8,9173.49,9145.53,9161.63,5.969961
1601935200000,9163.46,9175.0,9147.84,9156.38,12.322115
1601938800000,9148.8,9182.68,9140.17,9180.75,8.333617
1601942400000,9183.14,9195.09,9144.73,9148.01,5.300514
1601946000000,9153.09,9163.89,9144.27,9163.89,0.461339
1601949600000,9163.43,9182.17,9151.2,9154.04,0.94783
1601953200000,9148.57,9163.88,9144.32,9157.86,1.521512
1601956800000,9157.97,9173.86,9153.56,9164.54,2.041468
1601960400000,9160.74,9165.32,9142.0,9155.24,2.934936
1601964000000,9144.64,9163.87,9140.0,9158.91,7.199677
1601967600000,9158.45,9175.01,9125.3,9135.0,21.440905
1601971200000,9125.74,9162.67,9118.83,9149.26,21.502598
1601974800000,9147.09,9163.86,9136.01,9160.21,19.258377
1601978400000,9160.21,9165.7,9123.56,9128.0,30.673019
1601982000000,9124.0,9124.0,9091.11,9106.49,26.501009
1601985600000,9104.99,9129.01,9088.8,9120.35,14.436535
1601989200000,9118.97,9130.0,9103.07,9104.01,21.805271
1601992800000,9104.01,9120.01,9081.45,9093.63,23.356697
1601996400000,9096.37,9157.72,9043.04,9150.4,24.335422
1602000000000,9149.14,9165.0,9132.82,9148.51,17.329117
1602003600000,9148.36,9155.0,9114.76,9133.48,20.444488
1602007200000,9134.63,9149.01,9032.0,9049.57,23.012387
1602010800000,9040.84,9071.88,9000.0,9035.76,35.305299
1602014400000,9030.0,9046.01,9011.1,9025.06,20.450306
1602018000000,9027.98,9055.43,9011.64,9050.96,8.985402
1602021600000,9045.99,9071.44,9042.37,9062.61,11.25798
1602025200000,9061.91,9075.83,9045.89,9072.02,4.668232
1602028800000,9068.53,9072.02,9051.49,9060.8,2.175375
1602032400000,9069.98,9070.77,9034.58,9057.52,2.020125
1602036000000,9061.15,9071.88,9051.68,9070.1,2.395136
1602039600000,9061.63,9069.95,9030.36,9049.93,4.976923
1602043200000,9049.94,9069.55,9041.82,9053.67,1.535874
1602046800000,9053.67,9079.46,9047.68,9075.57,4.270188
1602050400000,9076.14,9093.33,9062.39,9082.53,10.984236
1602054000000,9082.53,9082.98,9050.75,9062.95,11.9013
1602057600000,9066.81,9074.7,9042.23,9066.17,12.068052
1602061200000,9066.17,9076.3,9041.6,9047.46,15.994047
1602064800000,9046.22,9062.81,9033.75,9056.23,18.313627
1602068400000,9056.23,9058.65,9030.17,9040.64,21.789251
1602072000000,9046.14,9070.0,9039.99,9064.93,14.212746
1602075600000,9060.56,9066.45,9023.19,9042.77,22.940718
1602079200000,9044.34,9071.01,9028.51,9064.62,11.52395
1602082800000,9067.63,9087.01,9057.82,9071.0,16.168522
1602086400000,9071.0,9081.56,9036.44,9065.92,13.561328
1602090000000,9068.55,9084.74,9050.96,9084.74,8.677199
1602093600000,9080.95,9099.66,9070.14,9094.84,10.874887
1602097200000,9096.0,9114.15,9087.73,9099.1,10.839356
1602100800000,9089.91,9104.01,9082.95,9103.09,7.800862
1602104400000,9102.61,9104.01,9092.83,9101.35,5.383858
1602108000000,9100.05,9104.01,9077.19,9093.18,1.925419
1602111600000,9092.71,9105.0,9084.17,9103.18,3.300767
1602115200000,9104.21,9105.0,9077.19,9082.52,1.21085
1602118800000,9081.09,9083.52,9057.1,9064.43,4.32327
1602122400000,9080.12,9083.01,9064.17,9079.45,1.92187
1602126000000,9079.52,9094.17,9070.71,9081.97,1.723799
1602129600000,9076.06,9083.01,9069.41,9070.27,1.337975
1602133200000,9070.83,9073.0,9052.23,9052.69,4.038822
1602136800000,9053.8,9068.0,9048.62,9064.29,5.85775
1602140400000,9063.14,9067.55,9019.46,9038.95,16.678507
1602144000000,9040.11,9055.59,9017.52,9017.52,12.425823
1602147600000,9017.5,9033.96,9000.0,9025.68,16.472216
1602151200000,9026.34,9076.18,9024.0,9062.91,21.190582
1602154800000,9062.93,9070.42,9057.18,9063.77,16.156443
1602158400000,9065.72,9088.13,9050.0,9088.13,20.409071
1602162000000,9088.13,9190.43,9071.27,9183.87,38.828479
1602165600000,9182.97,9315.11,9136.94,9314.95,59.185234
1602169200000,9314.95,9328.21,9273.88,9304.67,23.939165
1602172800000,9309.63,9325.16,9275.11,9325.16,18.545999
1602176400000,9325.16,9341.25,9275.31,9285.97,13.693193
1602180000000,9289.36,9300.0,9260.86,9276.31,14.669372
1602183600000,9272.13,9302.62,9262.2,9287.57,9.260467
1602187200000,9285.3,9299.76,9259.54,9283.85,7.119084
1602190800000,9287.12,9299.0,9270.0,9279.0,3.95686
1602194400000,9279.0,9311.52,9279.0,9302.67,6.531713
1602198000000,9302.62,9320.56,9283.79,9311.5,3.427267
1602201600000,9312.5,9337.47,9279.0,9285.92,3.771964
1602205200000,9280.18,9296.64,9274.5,9290.21,4.426134
1602208800000,9290.68,9305.54,9281.47,9290.97,1.112112
1602212400000,9290.97,9299.91,9273.83,9286.41,4.345135
1602216000000,9277.18,9290.29,9264.48,9282.24,1.130538
1602219600000,9277.5,9289.01,9260.02,9261.0,2.401901
1602223200000,9261.0,9277.17,9240.31,9262.01,13.294614
1602226800000,9263.21,9297.49,9259.79,9294.98,10.506674
1602230400000,9286.87,9288.05,9267.99,9274.6,18.074399
1602234000000,9273.82,9274.01,9252.36,9264.11,14.127103
1602237600000,9264.59,9354.03,9261.29,9350.68,27.473997
1602241200000,9349.33,9432.9,9348.81,9400.0,46.255977
1602244800000,9397.14,9442.28,9396.01,9410.52,29.78752
1602248400000,9411.74,9422.53,9385.61,9421.98,26.226772
1602252000000,9422.53,9424.38,9382.72,9396.28,85.478143
1602255600000,9393.25,9414.89,9386.71,9410.77,26.729903
1602259200000,9415.6,9431.24,9382.0,9389.19,24.323323
1602262800000,9388.49,9395.75,9382.94,9394.9,10.678343
1602266400000,9394.9,9394.9,9364.83,9380.66,14.822953
1602270000000,9375.89,9385.71,9354.9,9375.0,5.21169
1602273600000,9376.9,9384.57,9368.24,9368.24,3.649046
1602277200000,9368.72,9386.96,9354.78,9382.4,4.167812
1602280800000,9386.96,9400.78,9375.61,9400.3,5.793581
1602284400000,9398.3,9411.56,9375.67,9380.22,2.754078
1602288000000,9379.76,9412.46,9372.1,9399.65,2.9844
1602291600000,9395.7,9406.53,9384.1,9400.27,0.721514
1602295200000,9393.19,9650.0,9393.19,9609.99,43.57871
