time,etheur_open,etheur_high,etheur_low,etheur_close,volume
1601510400000,308.39,308.39,307.46,307.46,2.67523
1601514000000,307.46,309.2,307.46,309.2,7.80278
1601517600000,309.2,310.66,309.2,310.04,9.54856
1601521200000,310.04,310.42,309.54,309.54,4.2404
1601524800000,310.08,311.12,309.34,309.34,18.23546
1601528400000,309.49,310.32,308.53,309.7,46.47778
1601532000000,309.78,311.0,309.48,310.46,30.11361
1601535600000,310.46,312.0,310.18,311.46,48.21802
1601539200000,311.9,316.0,310.89,314.72,209.20388
1601542800000,314.84,315.0,314.53,314.57,46.08596
1601546400000,314.72,314.75,313.06,313.67,66.81858
1601550000000,313.67,314.59,313.23,314.59,55.86109
1601553600000,314.76,314.87,313.49,314.32,59.0128
1601557200000,314.29,314.92,312.82,313.22,176.19847
1601560800000,313.22,313.56,311.49,313.35,118.03148
1601564400000,313.29,313.56,308.63,309.01,85.0948
1601568000000,308.46,308.46,296.64,299.35,795.66076
1601571600000,299.0,299.73,296.18,296.18,205.47454
1601575200000,296.17,302.14,295.93,301.71,246.03891
1601578800000,301.71,303.11,299.79,301.14,67.77389
1601582400000,301.21,301.3,299.12,301.02,43.614
1601586000000,301.29,302.28,299.89,300.64,31.07458
1601589600000,300.0,302.0,300.0,301.37,12.63199
1601593200000,301.06,302.16,301.0,302.16,17.31456
1601596800000,301.13,301.8,299.51,300.46,33.77938
1601600400000,300.63,302.64,300.63,301.62,44.11588
1601604000000,300.91,302.41,300.59,301.12,12.42483
1601607600000,301.1,302.24,300.9,302.12,29.76564
1601611200000,303.24,303.55,301.83,301.83,34.79418
1601614800000,301.83,301.84,293.3,293.3,296.7723
1601618400000,293.26,295.55,291.59,294.47,194.05983
1601622000000,294.56,294.58,293.0,293.15,144.16052
1601625600000,293.12,294.3,288.27,289.58,473.27056
1601629200000,289.02,292.66,288.74,290.19,227.75117
1601632800000,290.0,290.97,286.95,289.8,207.03252
1601636400000,289.79,291.1,288.0,288.66,124.71904
1601640000000,288.92,291.15,288.92,291.05,94.7877
1601643600000,291.05,294.73,289.3,293.4,123.47558
1601647200000,293.69,296.75,293.4,295.53,270.16906
1601650800000,296.35,296.35,294.92,295.12,126.05259
1601654400000,294.18,295.97,293.32,295.7,110.60523
1601658000000,295.4,295.9,293.86,295.13,31.80012
1601661600000,295.47,295.71,293.91,294.04,192.34345
1601665200000,295.41,295.49,294.13,294.34,78.71969
1601668800000,294.8,297.71,294.27,296.79,77.76893
1601672400000,296.73,297.09,292.82,292.82,68.41014
1601676000000,293.51,295.94,293.09,295.3,28.62476
1601679600000,296.1,296.92,295.73,296.26,87.87859
1601683200000,296.26,296.26,294.91,295.19,13.66627
1601686800000,295.3,296.02,295.3,295.91,1.20265
1601690400000,296.2,296.2,296.09,296.09,1.06933
1601694000000,296.32,298.58,296.31,298.29,8.99117
1601697600000,298.15,298.72,297.94,298.72,9.61457
1601701200000,298.53,298.53,296.59,296.84,5.54783
1601704800000,296.35,296.81,295.61,296.48,10.87613
1601708400000,296.7,297.1,296.42,296.42,71.23003
1601712000000,296.42,298.0,295.36,297.04,20.97922
1601715600000,296.65,297.58,296.0,296.6,17.01733
1601719200000,297.15,298.74,297.05,298.74,31.08742
1601722800000,298.56,299.87,297.8,298.2,33.61529
1601726400000,298.0,298.38,296.9,297.2,86.99052
1601730000000,296.9,297.77,296.9,297.28,138.10254
1601733600000,296.9,297.98,296.51,297.34,54.21468
